Full Name,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,Element,ROI,FPL_Metric
Marcus Tavernier,4,12,315,0.0,0.0,5,0.26,201658,4.0,,0,0,-3,3,348.4,101,75,3.0,,3,3.0,0.0,0.0,0,1.37,0.07,4.5,0.23,3.13,31.77,1.64,0.16,Marcus,0.0,708,293,37,1.91,5,124.2,91,63,535,False,459.8,132,57,1740,Hamstring injury - Expected back 01 Jul,2023-04-27T23:30:09.287223Z,5.5,317,191,0,0,,0,,201658.jpg,4.1,46,22,0,0,0.0,Tavernier,0.2,383,136,False,,19,0.98,i,3,91,436.0,76,49,94,163444,0,162889,0,0.0,20.0,Tavernier,1,101,0.7454545454545454,70.07272727272726
Benjamin White,5,12,734,,,15,0.44,198869,,,0,0,5,-5,491.2,61,8,,,1,2.0,3.3,3.9,6,3.6,0.11,4.85,0.15,1.25,37.23,1.1,0.04,Benjamin,3.4,71,18,35,1.03,2,130.0,84,9,10,True,649.0,59,17,3054,,,5.5,197,24,0,0,,0,,198869.jpg,4.1,49,6,0,0,0.0,White,16.1,21,6,False,,36,1.06,a,1,3,159.0,208,38,156,3320417,0,2217969,0,0.7,31.2,White,5,7,0.7454545454545454,116.29090909090908
Oleksandr Zinchenko,2,8,500,0.0,0.0,10,0.42,206325,,,0,0,0,0,387.7,86,12,,,2,2.0,0.0,0.0,0,2.39,0.1,3.71,0.16,1.32,26.67,1.13,0.06,Oleksandr,1.6,221,67,28,1.19,1,98.3,132,26,313,False,405.0,161,60,2122,Calf injury - Expected back 01 Jul,2023-05-12T07:30:08.369212Z,5.0,204,28,0,0,,0,,206325.jpg,3.7,83,20,0,0,0.0,Zinchenko,9.0,46,16,False,,26,1.1,i,1,3,190.0,185,30,99,3068591,0,4119808,0,0.3,19.8,Zinchenko,3,26,0.74,73.26
Pervis Estupiñán,7,15,593,100.0,100.0,10,0.34,204214,,,0,0,5,-5,752.9,24,4,,,3,2.0,5.3,4.8,1,3.88,0.13,5.68,0.19,1.8,41.6,1.4,0.06,Pervis,4.8,26,5,43,1.45,1,161.3,56,6,586,False,570.2,87,25,2674,,2023-02-27T17:00:09.053149Z,5.0,201,26,0,0,,0,,204214.jpg,3.7,82,19,0,0,0.0,Estupiñán,20.5,13,3,False,,31,1.04,a,5,36,295.0,123,9,128,3358934,0,1067710,0,1.0,25.6,Estupiñán,4,184,0.74,94.72
Emerson Leite de Souza Junior,2,9,402,100.0,100.0,7,0.36,241157,,,0,0,-2,2,178.9,194,45,,,2,2.0,2.0,2.0,2,0.97,0.05,2.58,0.13,1.61,22.24,1.16,0.08,Emerson,2.0,166,48,27,1.41,2,78.7,180,45,445,False,376.2,186,72,1729,,2023-03-27T14:30:09.344495Z,4.5,288,43,0,0,,0,,241157.jpg,3.3,121,29,1,0,0.0,Leite de Souza Junior,1.8,144,51,False,,20,1.04,a,18,6,230.0,161,22,86,996965,0,1039357,0,0.4,17.9,Emerson Royal,2,691,0.7333333333333333,63.06666666666666
Luke Shaw,4,20,626,50.0,50.0,12,0.42,106760,3.0,,0,0,3,-3,547.7,47,7,4.0,,4,2.0,2.4,2.0,0,2.9,0.1,3.99,0.14,1.09,37.85,1.33,0.04,Luke,4.0,54,11,35,1.23,1,124.2,92,12,332,False,572.8,85,23,2552,Back injury - 50% chance of playing,2023-05-25T22:00:12.627114Z,5.5,136,16,0,0,,0,,106760.jpg,4.0,54,7,0,0,0.0,Shaw,19.2,14,4,False,,30,1.06,d,14,1,118.0,249,65,124,5515072,0,3556992,0,0.8,23.4,Shaw,8,513,0.7272727272727273,90.18181818181819
John Stones,2,13,422,100.0,100.0,7,0.34,97299,,,0,0,1,-1,164.1,207,50,,,1,2.0,2.8,2.6,0,0.97,0.05,2.0,0.1,1.03,13.56,0.66,0.05,John,1.6,225,68,17,0.83,2,69.6,219,65,302,False,396.0,167,63,1844,,2023-01-28T00:00:08.591408Z,5.5,89,9,1,0,,0,,97299.jpg,4.0,55,8,0,0,0.0,Stones,8.2,48,17,False,,21,1.02,a,13,43,135.0,231,52,93,1416852,0,810277,0,0.3,16.6,Stones,2,475,0.7272727272727273,67.63636363636364
Hugo Lloris,0,12,456,0.0,0.0,7,0.29,37915,,,0,0,-1,1,0.0,770,85,,,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,30.16,1.23,0.0,Hugo,0.0,758,85,39,1.59,0,54.0,266,17,425,False,540.0,102,17,2205,Muscle injury - Expected back 01 Jul,2023-04-23T21:30:08.038504Z,5.0,116,2,1,0,,0,,37915.jpg,3.6,93,18,0,79,3.22,Lloris,3.2,105,19,False,,25,1.02,i,18,6,0.0,767,82,89,507423,0,748961,0,0.0,16.5,Lloris,0,671,0.72,64.08
Issa Diop,0,8,422,,,7,0.31,219924,,,0,0,-2,2,27.7,402,143,,,1,2.0,3.0,2.7,1,0.49,0.02,0.78,0.03,0.29,35.86,1.61,0.01,Issa,2.7,112,27,26,1.17,1,53.8,267,90,470,False,432.6,144,49,2008,,,4.5,571,145,0,0,,0,,219924.jpg,3.2,130,34,0,0,0.0,Diop,0.3,328,120,False,,21,0.94,a,9,54,78.0,307,98,79,96417,0,85662,0,0.6,18.4,Diop,2,345,0.7111111111111111,56.17777777777778
Nayef Aguerd,0,5,320,100.0,100.0,5,0.28,210494,,,0,0,-2,2,67.5,335,112,,,1,2.0,3.0,2.7,1,0.23,0.01,2.46,0.14,2.23,28.42,1.6,0.13,Nayef,2.7,113,28,28,1.58,2,58.5,252,81,472,False,404.4,163,61,1594,,2023-05-21T21:00:09.157593Z,4.5,281,41,0,0,,0,,210494.jpg,3.2,135,39,0,0,0.0,Aguerd,0.4,289,105,False,,17,0.96,a,19,21,113.0,258,70,58,90416,0,62216,0,0.6,12.1,Aguerd,4,726,0.7111111111111111,41.24444444444445
