Full Name,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,Element,ROI,FPL_Metric
Tim Ream,0,12,560,0.0,0.0,8,0.25,82514,,,0,0,0,0,65.2,345,118,,,2,2.0,0.0,0.0,0,0.27,0.01,0.51,0.02,0.24,54.05,1.68,0.01,Tim,0.2,386,126,44,1.37,1,74.8,198,54,201,False,604.2,74,20,2898,Arm injury - Expected back 01 Jul,2023-04-30T20:30:07.347866Z,4.5,347,63,0,0,,0,,82514.jpg,3.0,155,48,0,0,0.0,Ream,1.2,176,60,False,,33,1.02,i,9,54,76.0,310,100,98,662408,0,562155,0,0.0,21.8,Ream,2,323,0.6666666666666666,65.33333333333333
Ashley Young,0,8,388,,,9,0.4,18892,,,0,0,-2,2,223.4,161,36,,,1,2.0,1.2,1.0,0,0.78,0.03,1.24,0.05,0.46,31.81,1.41,0.02,Ashley,1.0,272,88,28,1.24,1,68.7,221,66,538,False,380.2,180,70,2031,,,4.5,536,123,0,0,,0,,18892.jpg,3.0,151,45,0,0,0.0,Young,0.8,205,73,False,,23,1.02,a,2,7,81.0,300,94,87,267878,0,206399,0,0.2,20.2,Young,7,65,0.6666666666666666,58.0
Pascal Groß,8,14,748,100.0,100.0,11,0.31,60307,1.0,,0,0,-1,1,1215.4,4,3,,,3,3.0,4.7,4.8,5,8.93,0.25,14.12,0.39,5.19,48.43,1.35,0.14,Pascal,4.8,28,18,51,1.42,9,268.6,12,9,104,False,888.4,15,6,3240,,2023-05-04T23:30:08.893581Z,6.5,119,63,1,0,2.0,0,,60307.jpg,4.3,30,12,0,0,0.0,Groß,11.0,41,12,False,,37,1.03,a,5,36,578.0,51,32,159,4598699,0,3826265,0,0.9,29.4,Groß,7,160,0.6615384615384615,105.18461538461538
Marcus Rashford,7,21,530,100.0,100.0,13,0.41,176297,,,0,0,7,-7,459.7,67,56,2.0,,5,3.0,2.8,2.7,2,2.86,0.09,18.13,0.57,15.27,43.46,1.36,0.48,Marcus,2.7,118,59,39,1.22,17,277.6,10,7,335,True,887.8,16,7,2880,,2023-05-12T13:30:09.746071Z,9.0,33,17,0,0,3.0,0,,176297.jpg,5.9,6,2,0,0,0.0,Rashford,37.8,3,1,False,,32,1.0,a,14,1,1427.0,4,2,205,10735832,0,7923759,0,0.4,28.5,Rashford,2,516,0.6555555555555556,134.38888888888889
Mathias Jensen,7,11,498,100.0,100.0,10,0.32,207283,2.0,,0,0,-2,2,787.9,21,18,2.0,,2,3.0,2.0,1.4,0,4.79,0.15,7.13,0.23,2.34,40.47,1.3,0.08,Mathias,2.4,130,64,40,1.28,5,164.1,53,38,88,False,644.0,61,24,2805,,2022-10-29T19:30:07.406123Z,5.5,280,169,0,0,,0,,207283.jpg,3.6,90,39,0,0,0.0,Jensen,1.8,140,49,False,,37,1.19,a,4,94,208.0,175,105,132,923066,0,795941,0,0.5,27.5,Jensen,5,130,0.6545454545454545,86.4
Jacob Ramsey,8,13,470,100.0,100.0,11,0.38,232653,,,0,0,-4,4,496.7,59,49,,,3,3.0,5.0,5.8,9,2.89,0.1,7.96,0.27,5.07,40.5,1.38,0.17,Jacob,5.8,14,9,33,1.13,6,152.8,65,45,47,False,607.2,72,31,2634,,2022-12-20T01:00:07.011748Z,6.0,179,102,1,0,,0,,232653.jpg,3.9,64,28,0,0,0.0,Ramsey,1.5,160,56,False,,31,1.06,a,2,7,424.0,80,51,135,352106,0,387464,0,1.1,26.5,Ramsey,5,53,0.65,87.75
Morgan Gibbs-White,12,11,479,100.0,100.0,8,0.23,222531,1.0,,0,0,0,0,941.1,13,11,1.0,,1,3.0,5.8,5.4,4,6.06,0.17,12.83,0.36,6.77,57.88,1.65,0.19,Morgan,5.4,19,12,61,1.74,5,215.7,24,16,493,False,593.4,79,36,3151,,2023-01-30T18:00:08.003157Z,6.0,112,61,0,0,2.0,0,,222531.jpg,3.9,66,30,0,0,0.0,Gibbs-White,1.3,171,57,False,,36,1.03,a,16,17,624.0,40,25,145,346117,0,237680,0,1.0,26.4,Gibbs-White,6,606,0.65,94.25
Eberechi Eze,5,21,580,,,9,0.31,232413,2.0,,0,0,2,-2,800.4,19,16,1.0,,4,3.0,8.0,6.8,2,2.92,0.1,10.17,0.35,7.25,32.64,1.12,0.25,Eberechi,6.8,5,3,35,1.2,10,208.9,25,17,169,False,692.8,45,19,2631,,,6.5,85,47,0,0,,0,,232413.jpg,4.2,39,18,0,0,0.0,Eze,12.8,34,11,False,,30,1.03,a,7,31,597.0,45,28,159,2768543,0,1474235,0,1.2,27.9,Eze,3,257,0.6461538461538462,102.73846153846155
Kaoru Mitoma,9,11,457,100.0,100.0,8,0.31,451340,,,0,0,7,-7,567.6,44,36,,,4,3.0,3.0,2.8,1,4.93,0.19,13.22,0.51,8.29,35.52,1.38,0.32,Kaoru,2.8,109,55,35,1.36,7,198.9,30,20,124,False,566.8,89,40,2311,,2022-10-15T09:30:07.136345Z,6.5,87,48,0,0,,0,,451340.jpg,4.2,40,19,0,0,0.0,Mitoma,27.3,9,4,False,,24,0.93,a,5,36,857.0,23,12,138,4867333,0,1839456,0,0.5,24.2,Mitoma,0,176,0.6461538461538462,89.16923076923078
Serge Aurier,0,8,336,100.0,100.0,6,0.28,80226,,,0,0,-2,2,164.1,206,49,,,1,2.0,2.2,2.2,2,0.92,0.04,1.66,0.07,0.74,33.13,1.53,0.03,Serge,2.2,141,37,31,1.44,1,70.9,215,63,628,False,431.0,145,50,1943,,2023-05-09T07:30:09.004860Z,4.5,540,126,0,0,,0,,80226.jpg,2.9,164,53,0,0,0.0,Aurier,0.3,313,114,False,,22,1.02,a,16,17,112.0,261,71,70,232293,0,208094,0,0.5,16.3,Aurier,2,620,0.6444444444444444,45.11111111111111
Eric Dier,1,5,569,0.0,0.0,9,0.29,93264,,,0,0,0,0,112.3,269,76,3.0,,0,2.0,0.0,0.0,0,0.55,0.02,2.31,0.08,1.76,43.12,1.38,0.06,Eric,0.2,399,130,52,1.66,2,100.1,125,25,430,False,653.2,58,16,2816,Groin Injury - Expected back 01 Jul,2023-05-26T15:00:12.519549Z,4.5,186,20,0,0,,0,,93264.jpg,2.9,173,58,0,0,0.0,Dier,4.8,80,28,False,,31,0.99,i,18,6,235.0,158,21,96,1666908,0,1626420,0,0.0,19.2,Dier,3,676,0.6444444444444444,61.86666666666666
Ezri Konsa Ngoyo,0,6,633,100.0,100.0,12,0.33,199798,,,0,0,-1,1,116.1,264,74,,,0,2.0,1.8,1.8,2,0.71,0.02,1.79,0.05,1.08,50.67,1.37,0.03,Ezri,1.8,183,56,45,1.22,0,74.9,196,53,44,False,560.4,91,26,3322,,2022-07-05T15:30:04.118376Z,4.5,502,109,0,0,,0,,199798.jpg,2.9,168,56,0,0,0.0,Konsa Ngoyo,1.0,188,65,False,,37,1.0,a,2,7,72.0,314,102,110,214232,0,136598,0,0.4,25.0,Konsa,6,50,0.6444444444444444,70.88888888888889
Max Kilman,1,12,622,100.0,100.0,11,0.3,214048,,,0,0,-2,2,66.9,337,113,,,3,2.0,1.3,0.9,0,0.5,0.01,1.81,0.05,1.31,56.6,1.54,0.04,Max,1.4,233,72,56,1.52,0,91.6,146,30,484,False,739.8,35,7,3307,,2022-07-05T15:30:04.265873Z,4.5,565,141,0,0,,0,,214048.jpg,2.9,166,54,0,0,0.0,Kilman,3.1,108,37,False,,37,1.01,a,20,39,106.0,270,76,109,981931,0,752479,0,0.3,25.3,Kilman,3,748,0.6444444444444444,70.24444444444444
Kenny Tete,5,1,484,100.0,100.0,7,0.25,167074,,,0,0,-1,1,385.6,87,13,,,0,2.0,2.2,3.2,8,1.9,0.07,2.64,0.1,0.74,46.78,1.64,0.03,Kenny,3.2,81,22,36,1.26,1,111.6,108,17,215,False,617.8,69,19,2569,,2022-11-05T18:00:07.270680Z,4.5,492,100,0,0,,0,,167074.jpg,2.9,167,55,0,0,0.0,Tete,0.4,283,103,False,,29,1.02,a,9,54,110.0,263,72,90,163954,0,149094,0,0.7,20.5,Tete,8,337,0.6444444444444444,57.99999999999999
Raphaël Varane,0,2,392,100.0,100.0,10,0.47,90152,,,0,0,-2,2,74.0,326,109,,,0,2.0,2.3,2.0,0,0.51,0.02,1.26,0.06,0.75,27.27,1.28,0.04,Raphaël,2.0,165,47,22,1.04,0,58.8,250,79,329,False,387.0,174,66,1912,,2023-04-13T22:30:08.845786Z,5.0,266,39,1,0,,0,,90152.jpg,3.2,134,38,0,0,0.0,Varane,3.1,107,36,False,,22,1.04,a,14,1,124.0,243,61,77,651331,0,656951,0,0.4,16.0,Varane,1,510,0.64,49.28
Callum Wilson,6,20,526,100.0,100.0,10,0.48,75115,,,0,0,-2,2,271.0,132,16,,,4,4.0,8.5,7.3,1,2.11,0.1,18.54,0.89,16.43,21.93,1.06,0.79,Callum,6.8,6,3,16,0.77,18,200.4,28,7,356,False,720.0,39,5,1870,,2023-02-11T19:00:09.248232Z,8.0,29,14,0,0,1.0,0,,75115.jpg,5.1,14,4,0,0,0.0,Wilson,17.2,19,5,False,,21,1.01,a,15,4,1020.0,14,9,157,4424113,0,2851962,0,0.9,21.5,Wilson,4,551,0.6375,100.08749999999999
Philip Billing,2,14,475,75.0,75.0,9,0.29,168991,5.0,,0,0,-5,5,388.8,85,67,1.0,,1,3.0,1.1,1.1,2,2.56,0.08,7.16,0.23,4.6,49.46,1.61,0.15,Philip,2.0,168,79,54,1.76,7,145.2,71,51,70,False,622.0,67,27,2766,Back injury - 75% chance of playing,2023-05-20T18:00:08.387604Z,5.5,192,108,0,0,,0,,168991.jpg,3.5,106,45,0,0,0.0,Billing,0.9,200,68,False,,34,1.11,d,3,91,441.0,72,47,126,557651,0,489100,0,0.4,25.2,Billing,5,91,0.6363636363636364,80.18181818181819
Ederson Santana de Moraes,1,8,581,,,11,0.31,121160,,,0,0,-1,1,13.1,441,5,,,0,1.0,2.8,3.0,3,0.22,0.01,0.22,0.01,0.0,28.08,0.8,0.0,Ederson,2.0,170,16,32,0.91,0,49.2,276,18,307,False,479.0,121,18,3150,,,5.5,125,4,0,0,,0,,121160.jpg,3.5,108,22,0,46,1.31,Santana de Moraes,15.0,24,5,False,,35,1.0,a,13,43,0.0,770,84,121,2129302,0,2361752,0,0.4,22.4,Ederson,3,479,0.6363636363636364,77.0
Joe Willock,7,11,415,0.0,0.0,12,0.42,200089,,,0,0,-3,3,547.0,48,39,,,0,3.0,0.0,0.0,0,4.29,0.15,11.59,0.41,7.3,29.62,1.04,0.26,Joe,1.8,189,86,26,0.92,3,174.9,46,33,373,False,520.8,107,45,2556,Hamstring injury - Expected back 01 Jul,2023-05-18T23:00:11.015277Z,5.5,315,189,0,0,,0,,200089.jpg,3.5,103,44,0,0,0.0,Willock,1.2,179,59,False,,31,1.09,i,15,4,680.0,35,20,123,432169,0,369919,0,0.4,26.2,Willock,1,568,0.6363636363636364,78.27272727272727
Dwight McNeil,5,14,505,,,5,0.18,433154,2.0,,0,0,-3,3,726.6,28,21,2.0,,2,3.0,7.3,6.5,3,5.45,0.2,8.96,0.33,3.51,51.3,1.85,0.13,Dwight,6.0,9,5,46,1.66,7,189.2,35,24,534,False,699.4,44,18,2490,,,5.5,164,92,0,0,,0,,433154.jpg,3.5,107,46,0,0,0.0,McNeil,2.0,132,45,False,,28,1.01,a,8,11,462.0,68,44,126,312911,0,121282,0,1.2,24.2,McNeil,5,304,0.6363636363636364,80.18181818181819
Harvey Barnes,2,0,379,100.0,100.0,6,0.2,201666,,,0,0,-4,4,305.1,116,84,,,0,3.0,4.0,4.6,7,2.33,0.08,11.4,0.38,9.07,50.76,1.69,0.3,Harvey,4.6,36,21,51,1.69,13,175.5,45,32,264,False,567.4,88,39,2709,,2023-04-08T22:30:08.249347Z,6.5,52,26,0,0,,0,,201666.jpg,4.1,51,25,0,0,0.0,Barnes,1.7,148,52,False,,32,1.06,a,10,13,883.0,20,10,138,672752,0,712661,0,0.7,20.9,Barnes,3,377,0.6307692307692307,87.04615384615384
Bukayo Saka,12,19,678,75.0,75.0,12,0.34,223340,1.0,,0,0,0,0,1091.8,8,6,,,7,3.0,2.0,2.6,6,5.97,0.17,17.46,0.49,11.49,39.66,1.12,0.32,Bukayo,3.0,97,48,42,1.19,14,322.8,5,3,13,True,972.2,8,2,3183,Knock - 75% chance of playing,2023-05-26T15:00:11.378383Z,8.5,18,8,0,1,1.0,0,,223340.jpg,5.3,12,6,0,0,0.0,Saka,25.6,11,6,False,,37,1.05,d,1,3,1164.0,9,4,202,6134396,0,5658739,0,0.4,25.2,Saka,6,10,0.6235294117647059,125.95294117647059
James Tarkowski,1,13,632,,,9,0.24,17761,,,0,0,-4,4,184.7,185,44,,,1,2.0,2.0,3.3,8,1.89,0.05,4.86,0.13,2.97,67.45,1.78,0.08,James,2.8,99,24,57,1.5,1,164.2,51,3,199,False,1019.6,6,1,3420,,,4.5,627,175,0,0,,0,,17761.jpg,2.8,179,59,0,0,0.0,Tarkowski,4.4,83,31,False,,38,1.0,a,8,11,435.0,77,2,106,1463649,0,1063756,0,0.7,25.9,Tarkowski,6,301,0.6222222222222222,65.95555555555556
Joel Ward,0,5,403,100.0,100.0,8,0.32,55494,,,0,0,-1,1,164.3,205,48,,,1,2.0,4.0,3.6,2,0.83,0.03,1.95,0.07,1.12,32.15,1.28,0.04,Joel,3.6,65,15,35,1.4,1,71.6,209,60,156,False,436.2,142,48,2253,,2023-02-11T00:30:08.857316Z,4.5,475,90,0,0,,0,,55494.jpg,2.8,183,62,0,0,0.0,Ward,0.4,282,102,False,,24,0.96,a,7,31,114.0,251,67,78,98084,0,79513,0,0.8,17.7,Ward,6,245,0.6222222222222222,48.53333333333333
Adam Webster,0,3,405,100.0,100.0,9,0.41,110735,,,0,0,0,0,104.0,283,85,,,1,2.0,1.6,1.5,1,0.45,0.02,2.17,0.1,1.72,25.8,1.17,0.08,Adam,1.5,229,70,27,1.23,0,58.4,253,82,108,False,354.0,198,78,1983,,2023-05-12T13:30:09.094624Z,4.5,356,68,1,0,,0,,110735.jpg,2.8,184,63,0,0,0.0,Webster,0.5,267,96,False,,23,1.04,a,5,36,126.0,240,59,75,238625,0,216704,0,0.3,16.7,Webster,2,163,0.6222222222222222,46.666666666666664
Lewis Dunk,1,7,648,,,12,0.33,83299,,,0,0,3,-3,163.6,208,51,3.0,,0,2.0,2.6,2.2,0,0.9,0.02,2.57,0.07,1.67,46.43,1.29,0.05,Lewis,2.2,149,43,50,1.39,1,102.4,121,23,106,False,661.4,54,12,3240,,,5.0,264,38,1,0,,0,,83299.jpg,3.1,143,43,0,0,0.0,Dunk,8.2,49,18,False,,36,1.0,a,5,36,198.0,183,28,112,1915846,0,1275189,0,0.5,23.3,Dunk,4,161,0.62,69.44
Pierre-Emile Højbjerg,5,10,629,75.0,75.0,10,0.29,132015,,,0,0,-2,2,501.7,58,48,,,2,3.0,1.4,1.0,0,3.13,0.09,5.15,0.15,2.02,45.05,1.29,0.06,Pierre-Emile,1.4,242,113,57,1.64,4,150.0,67,47,433,False,758.0,30,14,3131,Knock - 75% chance of playing,2023-05-20T15:30:10.632035Z,5.5,141,75,0,0,,0,,132015.jpg,3.4,117,50,0,0,0.0,Højbjerg,1.8,142,51,False,,35,1.01,d,18,6,237.0,155,91,120,805527,0,779765,0,0.3,22.6,Højbjerg,5,679,0.6181818181818182,74.18181818181819
Christian Eriksen,9,8,426,100.0,100.0,13,0.57,80607,1.0,,0,0,-3,3,564.3,45,37,1.0,,2,3.0,3.7,3.3,1,3.49,0.15,8.28,0.36,4.79,26.02,1.14,0.21,Christian,3.3,79,38,25,1.1,1,132.8,80,57,519,False,420.8,149,63,2046,,2023-01-29T00:30:07.768238Z,6.0,62,31,0,0,,0,,80607.jpg,3.7,87,38,0,0,0.0,Eriksen,2.5,122,42,False,,25,1.1,a,14,1,344.0,107,68,103,590670,0,853592,0,0.5,16.6,Eriksen,3,530,0.6166666666666667,63.51666666666667
Leandro Trossard,13,8,494,75.0,75.0,8,0.32,116216,2.0,,0,0,1,-1,687.1,30,23,,,3,3.0,1.5,2.6,9,6.02,0.24,12.39,0.5,6.37,30.79,1.24,0.26,Leandro,3.0,96,47,38,1.53,8,216.6,23,15,111,False,620.0,68,28,2237,Knock - 75% chance of playing,2023-05-26T15:00:11.583349Z,7.0,49,25,0,0,,0,,116216.jpg,4.3,32,14,0,0,0.0,Trossard,7.2,55,18,False,,26,1.05,d,1,3,859.0,22,11,154,5012558,0,4595357,0,0.5,23.3,Trossard,1,24,0.6142857142857142,94.6
Antonee Robinson,2,5,558,100.0,100.0,9,0.26,169528,,,0,0,-1,1,417.6,77,10,,,0,2.0,2.6,2.3,1,1.68,0.05,1.75,0.05,0.07,55.11,1.61,0.0,Antonee,2.3,137,35,44,1.28,0,102.9,120,22,217,False,553.0,96,29,3088,,2023-02-16T16:30:09.641524Z,4.5,494,102,0,0,,0,,169528.jpg,2.7,195,68,0,0,0.0,Robinson,0.5,261,92,False,,35,1.02,a,9,54,57.0,334,113,93,145071,0,108528,0,0.5,21.1,Robinson,8,339,0.6000000000000001,55.80000000000001
Seamus Coleman,0,5,314,0.0,0.0,5,0.27,59949,,,0,0,-4,4,108.7,277,81,,,1,2.0,0.0,0.0,0,0.92,0.05,1.22,0.07,0.3,33.5,1.82,0.02,Seamus,0.0,528,202,25,1.36,1,50.4,273,93,178,False,297.8,226,83,1654,Knee injury - Expected back 01 Jul,2023-04-08T22:30:08.108199Z,4.5,631,176,0,0,,0,,59949.jpg,2.7,194,67,0,0,0.0,Coleman,0.3,334,124,False,,20,1.09,i,8,11,95.0,279,80,63,194808,0,177142,0,0.0,15.4,Coleman,1,281,0.6000000000000001,37.800000000000004
Lisandro Martínez,0,6,481,0.0,0.0,9,0.38,221820,,,0,0,-1,1,110.4,272,79,,,0,2.0,0.0,0.0,0,1.02,0.04,1.48,0.06,0.46,32.52,1.39,0.02,Lisandro,0.0,589,236,33,1.41,1,76.7,189,50,533,False,571.8,86,24,2113,Foot injury - Expected back 01 Jul,2023-04-13T22:30:09.539327Z,5.0,508,114,0,0,,0,,221820.jpg,3.0,154,47,0,0,0.0,Martínez,4.7,81,29,False,,24,1.02,i,14,1,82.0,299,93,81,1314733,0,1343114,0,0.0,18.4,Martínez,6,531,0.6,48.6
Joelinton Cássio Apolinário de Lira,5,10,458,0.0,0.0,11,0.37,180974,,,0,0,0,0,413.1,78,64,,,3,3.0,0.0,0.0,0,1.9,0.06,9.01,0.3,7.11,32.27,1.09,0.24,Joelinton Cássio,1.2,263,121,26,0.88,6,167.3,49,36,371,False,603.4,75,33,2660,Muscle injury - Expected back 01 Jul,2023-05-18T23:00:10.982931Z,6.0,70,36,0,0,3.0,0,,180974.jpg,3.6,94,41,0,0,0.0,Apolinário de Lira,2.0,135,46,False,,30,1.02,i,15,4,655.0,37,22,115,703853,0,571510,0,0.2,19.2,Joelinton,12,566,0.6,69.0
James Maddison,9,9,520,100.0,100.0,4,0.15,172780,2.0,,0,0,-2,2,970.0,10,8,1.0,,1,3.0,3.5,3.2,2,5.53,0.2,14.03,0.51,8.5,47.16,1.71,0.31,James,3.2,87,43,54,1.96,10,252.9,14,10,261,False,785.4,25,12,2479,,2023-04-22T17:30:08.439033Z,7.5,22,9,0,1,2.0,0,,172780.jpg,4.5,24,10,0,0,0.0,Maddison,5.5,71,23,False,,28,1.02,a,10,13,769.0,29,16,135,4466972,0,4491533,0,0.4,17.3,Maddison,10,374,0.6,81.0
Aleksandar Mitrović,2,14,324,100.0,100.0,7,0.31,128389,,,0,0,1,-1,216.5,166,23,,,3,4.0,3.6,2.8,-1,1.31,0.06,16.62,0.75,15.31,35.7,1.6,0.69,Aleksandar,2.8,111,18,30,1.34,14,193.1,32,9,210,False,584.8,82,8,2010,,2023-03-19T22:00:08.374434Z,7.5,50,21,0,4,1.0,0,,128389.jpg,4.5,22,7,0,0,0.0,Mitrović,12.5,36,8,False,,23,1.03,a,9,54,1141.0,10,6,107,7802867,0,7782569,0,0.4,16.2,Mitrović,7,332,0.6,64.2
Thiago Emiliano da Silva,2,8,524,100.0,100.0,6,0.23,51090,,,0,0,-1,1,86.1,311,100,,,0,2.0,0.5,0.7,2,1.04,0.04,2.58,0.1,1.54,34.83,1.33,0.06,Thiago,1.2,261,84,32,1.23,0,88.0,152,32,128,False,657.2,56,14,2351,,2023-02-26T23:00:08.471309Z,5.0,117,13,0,0,,0,,51090.jpg,3.0,158,50,0,0,0.0,Emiliano da Silva,5.7,69,23,False,,26,1.0,a,6,8,137.0,229,50,80,1208815,0,1397271,0,0.2,14.8,Thiago Silva,2,199,0.6,48.0
Gabriel Fernando de Jesus,7,17,401,100.0,100.0,9,0.39,205651,,,0,0,1,-1,407.3,80,6,,,2,4.0,3.5,5.3,12,2.91,0.13,17.15,0.75,14.24,23.15,1.01,0.62,Gabriel,4.8,30,6,23,1.0,11,228.3,20,6,28,False,594.2,78,7,2064,,2022-12-04T08:30:06.137006Z,8.0,14,9,0,0,2.0,0,,205651.jpg,4.8,15,5,0,0,0.0,Fernando de Jesus,28.3,8,3,False,,24,1.05,a,1,3,1282.0,6,3,125,3780822,0,8366682,0,0.6,15.4,Jesus,6,23,0.6,75.0
Michael Olise,11,15,517,100.0,100.0,8,0.26,443661,1.0,,0,0,-2,2,1014.6,9,7,2.0,,2,3.0,3.8,4.2,6,6.42,0.21,9.29,0.3,2.87,37.03,1.21,0.09,Michael,4.2,46,24,38,1.25,2,208.8,26,18,171,False,606.6,73,32,2743,,2022-08-01T17:30:04.743028Z,6.0,154,84,0,0,,0,,443661.jpg,3.6,92,40,0,0,0.0,Olise,1.8,141,50,False,,31,1.02,a,7,31,462.0,69,45,132,589134,0,416514,0,0.8,24.9,Olise,2,259,0.6,79.2
Dominic Solanke,10,14,339,100.0,100.0,8,0.25,154566,,,0,0,-4,4,279.9,127,14,,,3,4.0,3.0,2.5,1,2.3,0.07,11.39,0.36,9.09,51.51,1.62,0.29,Dominic,3.0,94,14,52,1.63,6,184.4,38,11,66,False,524.8,106,10,2865,,2023-01-14T22:00:08.130052Z,6.5,92,34,0,0,1.0,0,,154566.jpg,3.9,67,11,0,0,0.0,Solanke,3.6,94,14,False,,32,1.01,a,3,91,1046.0,13,8,130,2006010,0,1751916,0,0.5,23.2,Solanke,2,87,0.6,78.0
Alexander Isak,2,18,353,100.0,100.0,4,0.24,219168,,,0,0,0,0,244.1,146,17,,,2,4.0,3.9,3.7,2,1.37,0.08,9.48,0.56,8.11,18.67,1.11,0.48,Alexander,3.2,85,12,20,1.18,10,141.1,76,15,594,False,475.0,123,12,1520,,2023-02-01T02:00:08.516238Z,7.5,41,19,0,0,2.0,0,,219168.jpg,4.5,23,8,0,0,0.0,Isak,12.7,35,7,False,,17,1.01,a,15,4,693.0,33,15,100,3288916,0,1952281,0,0.5,14.3,Isak,3,575,0.6,60.0
Bryan Mbeumo,9,19,556,,,10,0.31,446008,1.0,,0,0,-3,3,766.3,23,1,3.0,,3,3.0,6.0,5.6,5,5.53,0.17,15.01,0.46,9.48,41.96,1.3,0.29,Bryan,6.6,7,4,39,1.21,9,229.3,19,5,95,False,662.4,52,6,2905,,,6.5,86,31,0,0,2.0,0,,446008.jpg,3.9,68,12,0,0,0.0,Mbeumo,4.0,89,13,False,,36,1.12,a,4,94,866.0,21,11,150,1501560,0,1332907,0,1.2,26.3,Mbeumo,5,137,0.6,90.0
Alex Iwobi,8,9,563,100.0,100.0,9,0.24,153133,3.0,,0,0,-6,6,917.7,14,12,,,1,3.0,5.3,4.9,3,4.31,0.11,6.87,0.18,2.56,66.42,1.77,0.07,Alex,4.4,41,23,56,1.49,2,196.7,31,21,186,False,682.4,47,20,3379,,2023-01-11T00:00:07.750144Z,5.5,231,131,0,0,,0,,153133.jpg,3.3,122,52,0,0,0.0,Iwobi,1.1,182,61,False,,38,1.01,a,8,11,366.0,101,63,126,643995,0,570132,0,0.9,25.7,Iwobi,2,289,0.6,75.6
Ollie Watkins,8,25,550,100.0,100.0,13,0.37,178301,,,0,0,-2,2,408.5,79,5,,,3,4.0,1.8,3.2,9,2.66,0.08,18.81,0.54,16.15,46.65,1.34,0.46,Ollie,3.2,86,13,40,1.15,15,247.0,15,4,40,False,792.0,22,4,3129,,2023-01-14T08:00:07.885748Z,8.0,30,15,0,1,1.0,0,,178301.jpg,4.7,18,6,0,0,0.0,Watkins,12.8,33,6,False,,36,1.04,a,2,7,1268.0,7,4,175,4129586,0,3125186,0,0.4,24.0,Watkins,4,46,0.5875,102.8125
Phil Foden,7,15,517,100.0,100.0,5,0.25,209244,3.0,,0,0,0,0,670.8,33,26,4.0,,3,3.0,5.5,5.1,2,4.73,0.23,10.48,0.51,5.75,17.62,0.87,0.28,Phil,4.1,50,27,16,0.79,11,205.4,27,19,314,False,671.2,49,21,1832,,2023-03-26T21:00:08.998209Z,7.5,17,7,0,0,,0,,209244.jpg,4.4,27,11,0,0,0.0,Foden,9.7,45,14,False,,22,1.08,a,13,43,712.0,31,17,142,4736083,0,4532519,0,0.5,17.8,Foden,1,485,0.5866666666666667,83.30666666666667
Lucas Tolentino Coelho de Lima,5,8,395,100.0,100.0,6,0.25,224024,,,0,0,-1,1,446.5,69,58,3.0,,0,3.0,2.2,2.2,2,2.62,0.11,7.01,0.29,4.39,33.84,1.41,0.18,Lucas,2.2,152,73,39,1.63,4,142.0,74,53,603,False,496.8,115,50,2154,,2023-03-10T15:30:09.260370Z,6.0,75,39,0,0,3.0,0,,224024.jpg,3.5,109,47,0,0,0.0,Tolentino Coelho de Lima,0.9,204,69,False,,27,1.13,a,19,21,473.0,65,41,98,371554,0,309226,0,0.4,16.6,Paquetá,5,735,0.5833333333333334,57.16666666666667
Christian Nørgaard,6,6,309,0.0,0.0,6,0.31,128295,,,0,0,-2,2,173.7,201,126,,,0,3.0,0.0,0.0,0,1.74,0.09,3.38,0.17,1.64,25.13,1.28,0.08,Christian,0.0,752,326,23,1.17,1,82.3,169,94,79,False,379.2,183,76,1763,Achilles injury - Unknown return date,2023-04-22T17:30:08.014238Z,5.5,140,74,0,0,,0,,128295.jpg,3.2,136,55,0,0,0.0,Nørgaard,0.2,395,140,False,,21,1.07,i,4,94,269.0,139,82,71,67213,0,87128,0,0.0,13.4,Nørgaard,6,121,0.5818181818181819,41.30909090909091
